"symbol"	"prevSymbols"	"synonyms"	"name"	"refSeqName"
"1"	"NKX2-2"	"NKX2B"	"NKX2.2"	"NK2 homeobox 2"	"NKX2-2"
"2"	"MEN1"	""	""	"menin 1"	"MEN1"
"3"	"FYN"	""	"SYN,SLK,MGC45350"	"FYN proto-oncogene, Src family tyrosine kinase"	"FYN"
"4"	"PTPRE"	""	"PTPE"	"protein tyrosine phosphatase, receptor type E"	"PTPRE"
"5"	"PEAR1"	"MEGF12"	"JEDI,FLJ00193"	"platelet endothelial aggregation receptor 1"	"PEAR1"
"6"	"PDS5B"	"APRIN"	"AS3,KIAA0979,FLJ23236,CG008"	"PDS5 cohesin associated factor B"	"PDS5B"
"7"	"MAPK8"	"PRKM8"	"JNK,JNK1,SAPK1"	"mitogen-activated protein kinase 8"	"MAPK8"
"8"	"KLHL10"	""	"FLJ32662"	"kelch like family member 10"	"KLHL10"
"9"	"HNRNPD"	"AUF1,HNRPD"	""	"heterogeneous nuclear ribonucleoprotein D"	"HNRNPD"
"10"	"FGFR3"	"ACH"	"CEK2,JTK4,CD333"	"fibroblast growth factor receptor 3"	"FGFR3"
"11"	"MALAT1"	""	"PRO1073,MALAT-1,NCRNA00047,HCN,NEAT2,LINC00047,MASCRNA"	"metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)"	"MALAT1"
"12"	"VHL"	""	"VHL1"	"von Hippel-Lindau tumor suppressor"	"VHL"
"13"	"ALK"	""	"CD246"	"ALK receptor tyrosine kinase"	"ALK"
"14"	"MUC2"	""	""	"mucin 2, oligomeric mucus/gel-forming"	"MUC2"
"15"	"EPHA2"	"ECK"	""	"EPH receptor A2"	"EPHA2"
"16"	"CIRBP"	""	"CIRP"	"cold inducible RNA binding protein"	"CIRBP"
"17"	"THRSP"	"LPGP1"	"SPOT14,LPGP,S14,THRP"	"thyroid hormone responsive"	"THRSP"
"18"	"EPS15"	""	"AF-1P,MLLT5"	"epidermal growth factor receptor pathway substrate 15"	"EPS15"
"19"	"TPK1"	""	"HTPK1,PP20"	"thiamin pyrophosphokinase 1"	"TPK1"
"20"	"ARID5A"	""	"MRF-1,RP11-363D14"	"AT-rich interaction domain 5A"	"ARID5A"
"21"	"KIAA1549"	""	""	"KIAA1549"	"KIAA1549"
"22"	"WISP2"	""	"CT58,CTGF-L,CCN5"	"WNT1 inducible signaling pathway protein 2"	"WISP2"
"23"	"LTBR"	"D12S370"	"TNFCR,TNFR-RP,TNFR2-RP,TNF-R-III,TNFRSF3"	"lymphotoxin beta receptor"	"LTBR"
"24"	"OSBPL3"	"OSBP3"	"ORP-3,ORP3,KIAA0704"	"oxysterol binding protein like 3"	"OSBPL3"
"25"	"CALCR"	""	"CTR"	"calcitonin receptor"	"CALCR"
"26"	"LRRC25"	""	"MAPA,FLJ38116"	"leucine rich repeat containing 25"	"LRRC25"
"27"	"PHLPP1"	"PLEKHE1,PHLPP"	"KIAA0606,SCOP,PPM3A"	"PH domain and leucine rich repeat protein phosphatase 1"	"PHLPP1"
"28"	"ASXL1"	""	"KIAA0978"	"additional sex combs like 1, transcriptional regulator"	"ASXL1"
"29"	"CADPS2"	""	"CAPS2"	"calcium dependent secretion activator 2"	"CADPS2"
"30"	"GAS6"	"AXLLG"	"AXSF,FLJ34709,DKFZP666G247"	"growth arrest specific 6"	"GAS6"
"31"	"CDKN1A"	"CDKN1"	"P21,CIP1,WAF1,SDI1,CAP20,P21CIP1,P21CIP1/WAF1"	"cyclin dependent kinase inhibitor 1A"	"CDKN1A"
"32"	"ESRRA"	"ESRL1"	"ERR1,ERRALPHA,NR3B1,ERRA"	"estrogen related receptor alpha"	"ESRRA"
"33"	"TRAF3"	""	"CAP-1,CD40BP,CRAF1,LAP1,RNF118"	"TNF receptor associated factor 3"	"TRAF3"
"34"	"BBC3"	""	"JFY1,PUMA"	"BCL2 binding component 3"	"BBC3"
"35"	"CTNNB1"	"CTNNB"	"BETA-CATENIN,ARMADILLO"	"catenin beta 1"	"CTNNB1"
"36"	"JAK2"	""	"JTK10"	"Janus kinase 2"	"JAK2"
"37"	"S100P"	""	""	"S100 calcium binding protein P"	"S100P"
"38"	"CSNK1A1"	""	"CK1,CK1A,CK1ALPHA,CKIA,CKIALPHA"	"casein kinase 1 alpha 1"	"CSNK1A1"
"39"	"PIAS3"	""	"FLJ14651,ZMIZ5"	"protein inhibitor of activated STAT 3"	"PIAS3"
"40"	"CRKL"	""	""	"CRK like proto-oncogene, adaptor protein"	"CRKL"
"41"	"FRAT1"	""	""	"FRAT1, WNT signaling pathway regulator"	"FRAT1"
"42"	"RASA1"	"RASA"	"GAP,CM-AVM,P120GAP,P120RASGAP,P120"	"RAS p21 protein activator 1"	"RASA1"
"43"	"LATS2"	""	""	"large tumor suppressor kinase 2"	"LATS2"
"44"	"HOXD11"	"HOX4,HOX4F"	""	"homeobox D11"	"HOXD11"
"45"	"SUFU"	""	"SUFUH,SUFUXL,PRO1280"	"SUFU negative regulator of hedgehog signaling"	"SUFU"
"46"	"ATRX"	"RAD54,JMS,MRX52"	"XH2,XNP"	"ATRX, chromatin remodeler"	"ATRX"
"47"	"CCND3"	""	""	"cyclin D3"	"CCND3"
