Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ABI1,abl-interactor 1,10006,10:26748570-26860863,10p11.2,yes,,AML,,,L,Dom,TSG,T,KMT2A,,,"ABI1,E3B1,ABI-1,SSH3BP1,10006"
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,25,9:130835447-130885683,9q34.1,yes,,"CML, ALL, T-ALL",,,L,Dom,oncogene,"T, Mis","BCR, ETV6, NUP214",,,"ABL1,p150,ABL,c-ABL,JTK7,bcr/abl,v-abl,P00519,ENSG00000097007,25"
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",27,1:179107718-179143044,1q24-q25,yes,,AML,,,L,Dom,oncogene,T,ETV6,,,"ABL2,ARG,RP11-177A2_3,ABLL,P42684,ENSG00000143322,27"
ACKR3,atypical chemokine receptor 3,57007,2:-,2q37.3,yes,,lipoma,,,M,Dom,oncogene,T,HMGA2,,,
ACSL3,acyl-CoA synthetase long-chain family member 3,2181,2:222908773-222941654,2q36,yes,,prostate,,,E,Dom,,T,ETV1,,,"2181,PRO2194,ACS3,FACL3,O95573,ENSG00000123983,ACSL3"
ACSL6,acyl-CoA synthetase long-chain family member 6,23305,5:131954234-132011553,5q31.1,yes,,"AML, AEL",,,L,Dom,,T,ETV6,,,"23305,FACL6,LACS2,ACS2,LACS5,KIAA0837,ENSG00000164398,ACSL6"
ACVR1,"activin A receptor, type I",90,2:157737531-157799493,2q23-q24,yes,,DIPG,,,O,Dom,oncogene,Mis,,yes,Fibrodysplasia ossificans progressiva,"90,SKR1,ACTRI,ALK2,FOP,ACVRLK2,Q04771,ENSG00000115170,ACVR1"
AFF1,"AF4/FMR2 family, member 1",4299,4:87007409-87135702,4q21,yes,,AL,,,L,Dom,oncogene,T,KMT2A,,,"AFF1,MLLT2,PBM1,AF-4,P51825,ENSG00000172493,4299"
AFF3,"AF4/FMR2 family, member 3",3899,2:99551474-100104454,2q11.2-q12,yes,,"ALL, T-ALL",,,L,Dom,oncogene,T,"KMT2A, RUNX1",,,"3899,MLLT2-like,P51826,LAF4,ENSG00000144218,AFF3"
AFF4,"AF4/FMR2 family, member 4",27125,5:132881059-132937189,5q31,yes,,ALL,,,L,Dom,oncogene,T,KMT2A,,,"AFF4,Q9UHB7,MCEF,AF5Q31,ENSG00000072364,27125"
AKAP9,A kinase (PRKA) anchor protein (yotiao) 9,10142,7:91941100-92110159,7q21-q22,yes,,papillary thyroid,,,E,Dom,oncogene,T,BRAF,,,"10142,AKAP350,CG-NAP,MU-RMS-40_16A,HYPERION,PRKA9,YOTIAO,AKAP450,Q99996,KIAA0803,ENSG00000127914,AKAP9"
AKT1,v-akt murine thymoma viral oncogene homolog 1,207,14:104770341-104792643,14q32.32,yes,,"breast, colorectal, ovarian, NSCLC",,,E,Dom,oncogene,Mis,,,,"P31749,AKT1_NEW,207,ENSG00000142208,AKT,MGC99656,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA"
AKT2,v-akt murine thymoma viral oncogene homolog 2,208,19:40233872-40265267,19q13.1-q13.2,yes,,"ovarian, pancreatic",,,E,Dom,oncogene,A,,,,"AKT2,PKBBETA,PRKBB,P31751,RAC-BETA,ENSG00000105221,208"
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),217,12:111766983-111809575,12q24.2,yes,,leiomyoma,,,M,Dom,TSG,T,HMGA2,,,"ALDH2,ALDHI,ALDM,MGC1806,P05091,ALDH-E2,ENSG00000111275,217"
